--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
464.010  000.009  000.009: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
464.133  000.106  000.106: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
464.255  000.009  000.009: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
464.335  000.008  000.008: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
464.396  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
464.553  000.009  000.009: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
464.692  000.009  000.009: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
464.717  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
464.819  000.008  000.008: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
464.843  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
464.865  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
464.886  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
464.907  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
465.366  000.030  000.030: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
465.393  000.008  000.008: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
465.410  000.008  000.008: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
465.433  000.014  000.014: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
466.630  000.017  000.017: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
466.661  000.008  000.008: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
466.685  000.008  000.008: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
466.707  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
466.728  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
466.749  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
466.768  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
466.800  000.008  000.008: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
466.822  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
466.842  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
466.864  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
466.884  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
466.905  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
466.926  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
466.954  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
466.974  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
466.998  000.011  000.011: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
467.090  000.008  000.008: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
467.112  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
467.131  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
467.150  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
467.179  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
467.204  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
467.224  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
