--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
172.073  000.025  000.025: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
172.102  000.013  000.013: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
172.354  000.013  000.013: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
172.377  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
172.400  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
172.418  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
172.435  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
172.457  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
172.473  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
172.506  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
172.522  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
172.538  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
172.559  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
172.575  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
172.597  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
172.613  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
172.643  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
172.660  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
172.676  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
172.697  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
172.713  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
172.734  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
172.750  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
172.781  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
172.798  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
172.814  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
172.832  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
172.865  000.020  000.020: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
172.901  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
172.918  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
177.160  000.038  000.038: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
177.250  000.020  000.020: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
177.313  000.049  000.049: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
